MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS,IMDb Link,720p torrent,1080p torrent
,,,,,,
The Black Hole (2006),3.2,6,"23,331",https://www.imdb.com/title/tt0433883/,https://yts.am/torrent/download/B21ED14FD54D32EAE8C13BBE05B9CD1CDD42AEC0,https://yts.am/torrent/download/B1719D4DE9FEEBC608C902077A22DD45C8973965
,,,,,,
In Pursuit of Silence (2015),7.1,8,"33,229",https://www.imdb.com/title/tt4026570/,https://yts.am/torrent/download/82F172C809CAEF25BA5D508ABDD0588EE29B3343,https://yts.am/torrent/download/BF0D7D7F8BFE986108EC391347DF8306B77A0BA3
,,,,,,
211 (2018),4.3,67,"5,83,376",https://www.imdb.com/title/tt4976192/,https://yts.am/torrent/download/C2EB168C4E1CA2CB8D0C29929E0565B617E7ECB7,https://yts.am/torrent/download/D6D3EFB095F70ACFA733B6C873DE859A34EDD09C
,,,,,,
Dakota (1945),6.1,2,"15,251",https://www.imdb.com/title/tt0037627/,https://yts.am/torrent/download/F90304F328BD0522096978B6BE29083C89F7208C,https://yts.am/torrent/download/11ECEFE3ABFFA1C9834FAC609C0755D470497823
,,,,,,
5th Passenger (2018),3.1,38,"2,48,965",https://www.imdb.com/title/tt3165632/,https://yts.am/torrent/download/D15D94B9DF03FAE3B46C06620F1973D884E033CE,https://yts.am/torrent/download/A0FF16D18BD28BBF058B2B89D46C16683E1B0450
,,,,,,
King of Jazz (1930),7.3,4,"22,422",https://www.imdb.com/title/tt0021025/,https://yts.am/torrent/download/C59AD53FB04E84F562EA4DFCD2D2E6E1BA18F36A,https://yts.am/torrent/download/17851E08901A4820296A04D0B1B421834F4CF090
,,,,,,
10+10 (2011),6,5,"18,887",https://www.imdb.com/title/tt2243123/,https://yts.am/torrent/download/A7D77BA2E219BEC98EBDE8C75644EB635AF55DFD,https://yts.am/torrent/download/73394D7D5552EF8A620DD0A665CA784598CE027E
,,,,,,
If You Meet Sartana... Pray for Your Death (1968),6.5,2,"16,564",https://www.imdb.com/title/tt0063568/,https://yts.am/torrent/download/4C1A9E0977AE17FE59210887E093A2A355EEA2BD,https://yts.am/torrent/download/20B4D4D27D5C313693DEAF9520404B6E70D5136C
,,,,,,
Ready Player One (2018),7.6,599,"33,47,948",https://www.imdb.com/title/tt1677720/,https://yts.am/torrent/download/476FB80ED698A98DAEF486CE0D949627622C7DCE,https://yts.am/torrent/download/ADBD2218563493209CF7952468102AB34D19B5B4
,,,,,,
The Addiction (1995),6.4,10,"16,665",https://www.imdb.com/title/tt0112288/,https://yts.am/torrent/download/FDF53A043BCB261D63299ECDB7875E2FA89F4EB0,https://yts.am/torrent/download/9639010999D4545F4A125C0723EB2B0F528E4EC4
,,,,,,
Jungle 2 Jungle (1997),5.1,8,"33,128",https://www.imdb.com/title/tt0119432/,https://yts.am/torrent/download/3CDCE61FEE2ED753E320E11A46BEC963FB3A0930,https://yts.am/torrent/download/DD0B2A07083DBE053E40FA50EC8D7BD7F432A148
,,,,,,
Robot Carnival (1987),7.1,3,"21,513",https://www.imdb.com/title/tt0093871/,https://yts.am/torrent/download/E65BC10F5060FD36FB96020A22B08CB2044ADE28,https://yts.am/torrent/download/D7BC68CBE938A3F385470802159161A3D0B811A8
,,,,,,
Kenny & Company (1976),7.5,0,"21,614",https://www.imdb.com/title/tt0074739/,https://yts.am/torrent/download/7153549C6029130F46C22E590267AAAEC93434F3,https://yts.am/torrent/download/33E1E85C94F917C1C881551B1105E0FFDFC12900
,,,,,,
Requiem for a Vampire (1971),5.5,5,"18,483",https://www.imdb.com/title/tt0067950/,https://yts.am/torrent/download/3D076563616C09B0553EB141BE7F64B5208C98D7,https://yts.am/torrent/download/1D15E7F42CF1D0AD73B509125A7116604DB69812
,,,,,,
Left in Darkness (2006),4.9,6,"22,725",https://www.imdb.com/title/tt0466875/,https://yts.am/torrent/download/6510A93528151F9BD65FADBAB9FF00A649527DA2,https://yts.am/torrent/download/E0BDBE5A3E6029317A71CD565A2939D87D4EFA29
,,,,,,
Traffik (2018),6.1,63,"4,85,507",https://www.imdb.com/title/tt5670152/,https://yts.am/torrent/download/1BBC984FE50A6C5D1A0F85F5E61B61C51F44A0F5,https://yts.am/torrent/download/1FDA1718A90207BBF9674923A31B09A3BB7F8D1C
,,,,,,
Death Laid an Egg (1968),6.2,3,"16,160",https://www.imdb.com/title/tt0061994/,https://yts.am/torrent/download/21454FBD057A37C161DFAB43C5780FA80EFF4EB0,https://yts.am/torrent/download/5F3FA447CCAF0E088508C8C4053B211E7A8FA3D4
,,,,,,
The Endless (2017),6.5,25,"1,48,571",https://www.imdb.com/title/tt3986820/,https://yts.am/torrent/download/11DC591FA552718A5484953497C7FF88A04CCA95,https://yts.am/torrent/download/4FC360B5F85BCE6D703B5ECCF82A4461178789E5
,,,,,,
A Thousand Days of Solitude (2017),4,3,"13,231",https://www.imdb.com/title/tt6902446/,https://yts.am/torrent/download/ACC06F39C437C7D143C5007B1FCB199CA0BCBF50,https://yts.am/torrent/download/87B450F74CC298B0EC15AA11B86170C8809A1A46
,,,,,,
Manhunt (2017),5.3,8,"64,337",https://www.imdb.com/title/tt4537986/,https://yts.am/torrent/download/0E754C027B34E65DF1EB192A9895114D7BC105EC,https://yts.am/torrent/download/9FF027495E28049B471515A7FE3ECE6193427A6A
,,,,,,
Love Is All (2007),7,4,"20,503",https://www.imdb.com/title/tt0468644/,https://yts.am/torrent/download/EDF2FFD5BDF7A0C6B07B4E7CAC8D7854458CCF0E,https://yts.am/torrent/download/6E1395BE6A4A78232CAFA69836C956004F83B759
,,,,,,
Bilal: A New Breed of Hero (2015),8.2,91,"3,31,785",https://www.imdb.com/title/tt3576728/,https://yts.am/torrent/download/28A3CA6B893A166C5E01815AAABF76C3223932D5,https://yts.am/torrent/download/51921CC59A4528732DF80F4C9F4D18949E640377
,,,,,,
White Fang (2018),7,42,"1,64,024",https://www.imdb.com/title/tt5222768/,https://yts.am/torrent/download/2D1233C994BF35FE44ACDF435C6BE5AEC20BB352,https://yts.am/torrent/download/E316A1F65326B4DBAF260D8A1CB35FEFA7D27574
,,,,,,
Hannah (2017),5.9,12,"55,247",https://www.imdb.com/title/tt4432006/,https://yts.am/torrent/download/BC2B3147BA726BA0BB3D0B3135EBBEB440AC2BFB,https://yts.am/torrent/download/04D90A0B209DA39964B6C545CA9ABC26A3801CC6
,,,,,,
Memoir of a Murderer (2017),7,33,"1,44,127",https://www.imdb.com/title/tt5729348/,https://yts.am/torrent/download/DDC8F3E8B1227AADAB91BF6886102D74FEC69EEC,https://yts.am/torrent/download/5F135737E705B0FF93109499D9B152DA3E677421
,,,,,,
Another WolfCop (2017),4.7,4,"39,895",https://www.imdb.com/title/tt4515762/,https://yts.am/torrent/download/3A6EF14625F2EA8F12F5D0020062D06482ADA099,https://yts.am/torrent/download/B9294B6A4E6FFA834998CF4A59DE7C7FD5CF2254
,,,,,,
Noctem (2017),4.1,6,"27,371",https://www.imdb.com/title/tt5111550/,https://yts.am/torrent/download/729C865BF098664F7266B60D9EC32A1C3B0AB96E,https://yts.am/torrent/download/E05ED2880A04F59D3D8B0C063033112709BAA953
,,,,,,
Horror and Hamsters (2018),4.9,4,"26,967",https://www.imdb.com/title/tt8558596/,https://yts.am/torrent/download/F4D92571D2F1E821BFF68411A6B63B55C0BC038E,https://yts.am/torrent/download/234B3BEE73AC0772F735A08269D29ADC1BD55A7D
,,,,,,
The Legacy of a Whitetail Deer Hunter (2018),5.5,10,"59,994",https://www.imdb.com/title/tt4762824/,https://yts.am/torrent/download/E6715F0BBCBC5E3396788D19D2BD53C4E7D8EB8A,https://yts.am/torrent/download/17246C971B67A4EEC78A641A116FB1A2E58845F2
,,,,,,
Shark Zone (2003),2.7,3,"23,634",https://www.imdb.com/title/tt0339236/,https://yts.am/torrent/download/342FC3BFDCE5971798190E9469E7465C26D22942,https://yts.am/torrent/download/BAC4233DFFD6633603DA0F4C51C2F7BF044917E2
,,,,,,
Girl Followed (2017),5.1,8,"48,379",https://www.imdb.com/title/tt6137494/,https://yts.am/torrent/download/54EE6A75D217FF47F76C31B26F919DB6D16CC316,https://yts.am/torrent/download/9F35009D5E4ED473C1435BF7CBF98115CE07A8FC
,,,,,,
Backstabbed (2016),5,6,"26,058",https://www.imdb.com/title/tt5360018/,https://yts.am/torrent/download/3D05893FEED8D2AB043A71AE34F865DE95BCEDB4,https://yts.am/torrent/download/C11F2DC506314166012049D3CDBC50C72FEAFA26
,,,,,,
Jack Frost (1997),4.6,4,"21,412",https://www.imdb.com/title/tt0116671/,https://yts.am/torrent/download/6729DAB89F1DC4751609E67D70A4456FA3D637E7,https://yts.am/torrent/download/809C3C3A57C700470E91D93EE612C65AB60F5CBF
,,,,,,
Trashsploitation (2018),4.2,4,"22,119",https://www.imdb.com/title/tt7137164/,https://yts.am/torrent/download/579EEF773A24B7F7483109271BA54462084EC68E,https://yts.am/torrent/download/79C6DD17D8DF0C521A11BC717CC2DF243734DD8A
,,,,,,
A Prairie Home Companion (2006),6.8,7,"21,311",https://www.imdb.com/title/tt0420087/,https://yts.am/torrent/download/4F47E36A64E24D33EE146AE3C7276E355A4DD2D5,https://yts.am/torrent/download/B410FE1EBF24F68EE31FECBED3A2CAD9B5038C23
,,,,,,
Face of Evil (2016),4,10,"24,038",https://www.imdb.com/title/tt3707284/,https://yts.am/torrent/download/8C6D5B8DEDCB511479562FA13E1A971F02AF9756,https://yts.am/torrent/download/712994BE0F482F75E9972F933962B674344AE7D6
,,,,,,
Palm Swings (2017),4.4,4,"33,835",https://www.imdb.com/title/tt3465026/,https://yts.am/torrent/download/550A9E6EB592E8C7F96F31CEC7D98A111A67CD84,https://yts.am/torrent/download/76DD358503CC59D50F4AA036F3427F822433FC75
,,,,,,
Dark Web (2017),3.5,10,"40,299",https://www.imdb.com/title/tt7476416/,https://yts.am/torrent/download/93AD8981C781302BC675A1AC6C378E4FC148D2B0,https://yts.am/torrent/download/10506B951D5A5E3B179A5EA0DB2AF58B9093ADF4
,,,,,,
"I Am Sartana, Your Angel of Death (1969)",6.5,1,"17,372",https://www.imdb.com/title/tt0065019/,https://yts.am/torrent/download/186C5FD00759BECB4BC6E1C8A43D67AD7B0E1867,https://yts.am/torrent/download/6E24391E6E015C2602CABB50728C91A86AABA290
,,,,,,
Showdown in Manila (2016),2.7,14,"40,602",https://www.imdb.com/title/tt4586626/,https://yts.am/torrent/download/780B3321D24ECA7881187E3A641EA1F7575B9C39,https://yts.am/torrent/download/C442555319BDA497AF657DE8EF4A97A0533CF3CA
,,,,,,
The House That Dripped Blood (1971),6.6,4,"14,746",https://www.imdb.com/title/tt0065854/,https://yts.am/torrent/download/B1A206E89F1F4A4513C24A099367B05AEC430F1F,https://yts.am/torrent/download/FB0A965521671316D7E61098581BDFB6C46AA473
,,,,,,
Where Is Kyra? (2017),5.7,12,"47,975",https://www.imdb.com/title/tt5198670/,https://yts.am/torrent/download/19A454CE7F1D65896000367C32E7C83DCE18331D,https://yts.am/torrent/download/F0D7E939456C1A52706C6B1BD5FD897263021891
,,,,,,
Higher Power (2018),4.8,35,"1,64,428",https://www.imdb.com/title/tt2924392/,https://yts.am/torrent/download/736762F770FEF6496AEC74AD5902DDA4D69FF22E,https://yts.am/torrent/download/F763E55E8E7AEBCBA1ABB6B983641B3EDB70BF94
,,,,,,
Tomb Invader (2018),2.4,21,"94,738",https://www.imdb.com/title/tt7781732/,https://yts.am/torrent/download/2ADC7159B5131C8E4FEE33AD4C5AD0AE567E13EA,https://yts.am/torrent/download/00B4502274CA1D0E86C3F29AF8EC2ECCE63C21B2
,,,,,,
Gothic & Lolita Psycho (2010),5.4,8,"17,473",https://www.imdb.com/title/tt1666700/,https://yts.am/torrent/download/E1336324E6BAED580AC7CD4C844E036FD76657E8,https://yts.am/torrent/download/E79E991191B7738D8DA3759D5E005FA943EA9C51
,,,,,,
Truth or Dare (2018),5.1,111,"8,17,090",https://www.imdb.com/title/tt6772950/,https://yts.am/torrent/download/069B44270AFAC131397D7BFBD8A346337B6E7D56,https://yts.am/torrent/download/CB09ED0D11A64F6C2BD12426C649621252ED57EC
,,,,,,
Girl with Green Eyes (1964),7.1,0,"15,150",https://www.imdb.com/title/tt0058142/,https://yts.am/torrent/download/7CD0058F5F8D56753AFE408FCE438CE12E54232F,https://yts.am/torrent/download/5BA323AE178682DD281CE0156B0E1D8473A599AB
,,,,,,
Morocco (1930),7.2,4,"15,453",https://www.imdb.com/title/tt0021156/,https://yts.am/torrent/download/6F5911355D7086AB64ED83AA70D427DE20A0449F,https://yts.am/torrent/download/39546D5297C5D9CDE43815311AC90526EC13F3AD
,,,,,,
The Scarlet Empress (1934),7.7,5,"16,968",https://www.imdb.com/title/tt0025746/,https://yts.am/torrent/download/42A167B6D7E2254F45224A1644FEC3AC1D28E378,https://yts.am/torrent/download/51C025283424C0C9A9B290993A25B941AD08B245
,,,,,,
Dishonored (1931),7.3,4,"14,342",https://www.imdb.com/title/tt0021800/,https://yts.am/torrent/download/7049CD5B712974063B92DD7BA216F78283601818,https://yts.am/torrent/download/0A8E830862638DB45D6E534F68BADD1510E5C673
,,,,,,
The Rider (2017),7.4,16,"55,651",https://www.imdb.com/title/tt6217608/,https://yts.am/torrent/download/AC9142A0A8296DB3634A4CC84AEE89594D3A9AD3,https://yts.am/torrent/download/6165A25332E0D72812F7EC7FE7977FD76D367E23
,,,,,,
Isle of Dogs (2018),7.9,105,"5,19,746",https://www.imdb.com/title/tt5104604/,https://yts.am/torrent/download/5045E7CE17364BE75CEC322E10A4569C6347B6D8,https://yts.am/torrent/download/821A02F1A475880317992EBF016C46DF44658004
,,,,,,
The Devil Is a Woman (1935),7.1,4,"16,059",https://www.imdb.com/title/tt0026276/,https://yts.am/torrent/download/05AE2326C77BBDFE9D5289C8370FD111961579B0,https://yts.am/torrent/download/9EBFEE9B76509BE550A7C7330E82765B07B3B156
,,,,,,
Disobedience (2017),6.6,52,"2,59,368",https://www.imdb.com/title/tt6108178/,https://yts.am/torrent/download/7F513FBDFDCEC94FE6DEA64CAE6394A78D371260,https://yts.am/torrent/download/14C945AA040E3544FFB6626317A311D391B45CAE
,,,,,,
Shanghai Express (1932),7.4,9,"17,473",https://www.imdb.com/title/tt0023458/,https://yts.am/torrent/download/85BD5B6CAD3438B214CA7E0ECB3BB80570C1D063,https://yts.am/torrent/download/445B03A8B19EB9B2A4AC3A9248305A9E60CFC3C1
,,,,,,
Super Troopers 2 (2018),6.1,37,"4,67,630",https://www.imdb.com/title/tt0859635/,https://yts.am/torrent/download/DA5BEB89BD2705EFEE824B0F49299BC61C41B33E,https://yts.am/torrent/download/81A8A4CF2C175FA3E93CD1A0CB1B926E068BAB4B
,,,,,,
Hover (2018),3.6,9,"44,238",https://www.imdb.com/title/tt8210516/,https://yts.am/torrent/download/B1F724E2909FB9EEBE4E87C9C5A78688964C1019,https://yts.am/torrent/download/9FB53616C01E0F8309BFE8D023D22ED0174F6EF0
,,,,,,
Fugitive at 17 (2012),6.2,16,"72,922",https://www.imdb.com/title/tt2171901/,https://yts.am/torrent/download/E624AB515BFD5B36D40D5F6893B3406B936BFB1C,https://yts.am/torrent/download/3616BE19DC568AE5F7240BD556C7738F563334E6
,,,,,,
I Feel Pretty (2018),5.3,46,"4,69,650",https://www.imdb.com/title/tt6791096/,https://yts.am/torrent/download/38D78C235D05CDE7517358889274EAF0495F984E,https://yts.am/torrent/download/51CEF1CF6C244EB03780CEC8A2C55C97109D0752
,,,,,,
Blonde Venus (1932),7.2,4,"14,645",https://www.imdb.com/title/tt0022698/,https://yts.am/torrent/download/2053FE18F0A4B24886A6630412A6A38169E22B1B,https://yts.am/torrent/download/538DBC587B303D6737DC3CF77D71EFC7770E39A0
,,,,,,
Blonde Venus (1932),7.2,4,"14,645",https://www.imdb.com/title/tt0022698/,https://yts.am/torrent/download/2053FE18F0A4B24886A6630412A6A38169E22B1B,https://yts.am/torrent/download/538DBC587B303D6737DC3CF77D71EFC7770E39A0
,,,,,,
On the Ropes (2018),3.6,13,"51,207",https://www.imdb.com/title/tt8110966/,https://yts.am/torrent/download/C14F49C396F8C57D8B6F2AF2ECE7F3A37FDC0D44,https://yts.am/torrent/download/E53E15A5023A0E4F85EFE3DDEA07756437CCB38D
,,,,,,
Mad Genius (2017),3.7,17,"79,285",https://www.imdb.com/title/tt5011848/,https://yts.am/torrent/download/34CA225CE61A15988B4F3B1024E172F8755EB05F,https://yts.am/torrent/download/D27348B20F7D10B0BEFF47D6465B3143768E35F2
,,,,,,
King of Peking (2017),6.2,1,"19,796",https://www.imdb.com/title/tt6148782/,https://yts.am/torrent/download/63217B1B6AC146565F59AD7FF6ADC0F427C51C8C,https://yts.am/torrent/download/88E0EC68F792C97AAFCB71A9386E505BC2C66AEA
,,,,,,
Crystal Inferno (2017),3.7,7,"67,064",https://www.imdb.com/title/tt4048186/,https://yts.am/torrent/download/6144F33277F82B75D1F1C3FE47A56AEF47958076,https://yts.am/torrent/download/C57765B1AF9DF8F1FA278458201D168783472E83
,,,,,,
Duck Butter (2018),5.3,6,"26,866",https://www.imdb.com/title/tt6958014/,https://yts.am/torrent/download/1BE5CE063B1A7746BA701D4F0D2C7A57366BB306,https://yts.am/torrent/download/8D2D9F081C98C5B6E6785C999CAC0B54245D0A9B
,,,,,,
Bees Make Honey (2017),6.3,4,"21,614",https://www.imdb.com/title/tt5228304/,https://yts.am/torrent/download/8DD2C2C412B1F1C289FC27881E4E5AD9FB241B2E,https://yts.am/torrent/download/611EFA66B8D9C9AB638E531F5586E5D15BE11382
,,,,,,
The White Haired Witch of Lunar Kingdom (2014),5.4,7,"30,805",https://www.imdb.com/title/tt3465456/,https://yts.am/torrent/download/8DD2C2C412B1F1C289FC27881E4E5AD9FB241B2E,https://yts.am/torrent/download/611EFA66B8D9C9AB638E531F5586E5D15BE11382
,,,,,,
The Carmilla Movie (2017),6.8,19,"1,00,596",https://www.imdb.com/title/tt7427856/,https://yts.am/torrent/download/F1192E71E2EE036FAB087EAABF3238C7B2C27719,https://yts.am/torrent/download/2E1A5ACE1453DFF41C8AB13353383248E61BE3AE
,,,,,,
Big Legend (2018),4.4,42,"1,99,374",https://www.imdb.com/title/tt6409762/,https://yts.am/torrent/download/3EF271393D2E89F5791B2C6A9C9FAC85CEAACCD9,https://yts.am/torrent/download/A486B68E7F1CF16E6358ACA603F6C25050780A2C
,,,,,,
Astro (2018),2.3,19,"84,537",https://www.imdb.com/title/tt6156656/,https://yts.am/torrent/download/D89B8C208246FC37F40B20F2136E150B1FBD4576,https://yts.am/torrent/download/4B3E3202F8B67066F5675FA26C62D943FD29D700
,,,,,,
White Oleander (2002),7.2,11,"45,551",https://www.imdb.com/title/tt0283139/,https://yts.am/torrent/download/5F4F87089970B890A9D70733E795648422A8266C,https://yts.am/torrent/download/B71CF533B5AD2F8E43EA90E911390F4001F5EED4
,,,,,,
Suck It Up (2017),4.7,5,"34,138",https://www.imdb.com/title/tt6079702/,https://yts.am/torrent/download/A08CAA01B74CCBD716F3E41C03691148C047D098,https://yts.am/torrent/download/638736B9EBE982D96B0AFFF6BF014D7FC5B57A0D
,,,,,,
Recovery Boys (2018),6.6,16,"53,631",https://www.imdb.com/title/tt8167872/,https://yts.am/torrent/download/76F9493061A4D730923E27EEF50A97F11BF2069C,https://yts.am/torrent/download/EE3A6E232A16EC3A786114018B7AB73B16F2EC33
,,,,,,
Happy Birthday (2016),5.1,9,"30,603",https://www.imdb.com/title/tt3620846/,https://yts.am/torrent/download/5B21C886881C5B9627F009A0BE74CC3FE2117508,https://yts.am/torrent/download/7D5C606F592A7BD58A6F97961898877C3DA1A091
,,,,,,
Eye for an Eye (1996),6.2,10,"26,462",https://www.imdb.com/title/tt0116260/,https://yts.am/torrent/download/41E7C9627D1F3870469A4E2FF59786B9C5D0B474,https://yts.am/torrent/download/A767742968BB3FBE5F83F9A21769475E22EA1CA5
,,,,,,
Walk Like a Panther (2018),4.8,7,"27,977",https://www.imdb.com/title/tt6962204/,https://yts.am/torrent/download/7186DFC59CF8E5143C1438792BD4E93F837FD249,https://yts.am/torrent/download/119F839963743BB166B287EE9C214FE8361F367E
,,,,,,
Defective (2017),3.5,5,"33,128",https://www.imdb.com/title/tt4526372/,https://yts.am/torrent/download/BCFA8F591E323A88D96D797291C7F30C2738F40B,https://yts.am/torrent/download/D169ED6A204A7661102CA3B3EDBC7C6D11661285
,,,,,,
The Cove (2009),8.5,11,"38,986",https://www.imdb.com/title/tt1313104/,https://yts.am/torrent/download/0264F5F0A914D1E2DA722657F51DCFF9B6FC11A6,https://yts.am/torrent/download/C3D22F0CD00899B0D8AAC6C72ECC3F092F92F5BA
,,,,,,
Biology 101 (2013),3.6,8,"73,932",https://www.imdb.com/title/tt2120025/,https://yts.am/torrent/download/4C4C300252A0CE3399335B4DD563454BFF50B9DC,https://yts.am/torrent/download/3658B55D15A8F2293E40D38EB3EDA138C831F986
,,,,,,
A Good American (2015),7.4,4,"57,166",https://www.imdb.com/title/tt4065414/,https://yts.am/torrent/download/4D7A8F10628F21E13F2616A13F1123E6930D0184,https://yts.am/torrent/download/45BB1EAF119EEE7FB2A3ECE37645B3B50A664D80
,,,,,,
DC Super Hero Girls: Hero of the Year (2016),5.7,2,"39,996",https://www.imdb.com/title/tt5836262/,https://yts.am/torrent/download/698C26738B1FAD2EAF0068BFE1829B4CC3B60036,https://yts.am/torrent/download/5773CA9C48CA2C16E401C92D123336F1223EA25A
,,,,,,
1 Out of 7 (2011),5.7,5,"17,574",https://www.imdb.com/title/tt1523987/,https://yts.am/torrent/download/D342A063246752586A1F92D3447C2F571E4C47E0,https://yts.am/torrent/download/7854D44E3E57AA91A9A856D8AA7C762F3998C681
,,,,,,
Counterfeiting in Suburbia (2018),4.6,11,"48,278",https://www.imdb.com/title/tt7776830/,https://yts.am/torrent/download/76482FFD180298F3560CB447095D0EA28A7D9DE1,https://yts.am/torrent/download/8DAA49819AE3335CF668C1A7EAA6A6A3242C2D91
,,,,,,
Scars of Dracula (1970),6.2,6,"16,059",https://www.imdb.com/title/tt0067713/,https://yts.am/torrent/download/0A6A961876DF5E5E585F85DE9031ECF053C6BE2F,https://yts.am/torrent/download/8FF27E0C935086391DDDBFF203FF240D7F199E56
,,,,,,
Light the Fuse... Sartana Is Coming (1970),6.6,3,"16,766",https://www.imdb.com/title/tt0066167/,https://yts.am/torrent/download/0EBD648A4C9CF3CC814440217CB6D25F2BFDEFF7,https://yts.am/torrent/download/022469203AADB27EEAAC49813174402A7F343B62
,,,,,,
Lean on Pete (2017),7.2,44,"2,10,989",https://www.imdb.com/title/tt5340300/,https://yts.am/torrent/download/64A490610C4D9E0CDD4A1056493FE0BB41027A70,https://yts.am/torrent/download/C11C72BCC8149CA31274699565A7D5D8B99D30B3
,,,,,,
Tiger Zinda Hai (2017),6.1,50,"2,33,815",https://www.imdb.com/title/tt5956100/,https://yts.am/torrent/download/2819DEAB198BC8FC2266E457B65E838E37A1F783,https://yts.am/torrent/download/6143CF0EF07358B4C7BAED92709D8223175D4BC5
,,,,,,
Future World (2018),3.1,47,"2,63,307",https://www.imdb.com/title/tt5737536/,https://yts.am/torrent/download/15BA94A0C0044767B9A20FE870E10BF878B764CB,https://yts.am/torrent/download/4468B8E37D881ABC18D65DF20CE206B95E6CBAF3
,,,,,,
Modern Romance (1981),7,2,"16,059",https://www.imdb.com/title/tt0082764/,https://yts.am/torrent/download/15F9F66FA05636117ECC82645C603D3BC9190A33,https://yts.am/torrent/download/25B866763AC6C4CAED2BD87EDC9A7A996E3D5D0B
,,,,,,
Volunteers (1985),5.5,11,"29,694",https://www.imdb.com/title/tt0090274/,https://yts.am/torrent/download/D034622ECE5C4393D0D03F269F6A3132A00E07F1,https://yts.am/torrent/download/2348781EA77CB90369434F3A3D30F30A68ED1EC6
,,,,,,
The Female Brain (2017),5.6,21,"1,10,494",https://www.imdb.com/title/tt5752360/,https://yts.am/torrent/download/C90B2BCD1BB5135C0A60D5D766A1FBFB4599332A,https://yts.am/torrent/download/5BE3792DD8ABDBBADB00ABEDFB946E89E057DF5D
,,,,,,
Of Unknown Origin (1983),6.2,5,"14,443",https://www.imdb.com/title/tt0086036/,https://yts.am/torrent/download/DB63BE72776F5C2F7A8FB54B3FF766206B8F4433,https://yts.am/torrent/download/DB0A179F8D1EC7698A8A3F6A8ABCC522D62ED5E8
,,,,,,
Tarnation (2017),3.5,4,"18,180",https://www.imdb.com/title/tt5569344/,https://yts.am/torrent/download/460462AE8E420C34939B3C79D8A23556EC5CFB02,https://yts.am/torrent/download/A8066A7EA8F1F2F6C66A1779EA58ACC46496622D
,,,,,,
No Down Payment (1957),7.2,2,"13,736",https://www.imdb.com/title/tt0050771/,https://yts.am/torrent/download/C335A7BBAF97A9912AC071C0B32A59686E1B2A87,https://yts.am/torrent/download/596BDDA05DAE96FF8AE289B1A76B35E4BECC426B
,,,,,,
A Thousand & One Nights (1969),6.9,7,"19,594",https://www.imdb.com/title/tt0064961/,https://yts.am/torrent/download/0587E3353CBCA8976AA8B6EF074B8E21A235D170,https://yts.am/torrent/download/9BE08E110AF7A54C31ABE0456A2C152B49313393
,,,,,,
Kicking & Screaming (2005),5.6,13,"43,430",https://www.imdb.com/title/tt0384642/,https://yts.am/torrent/download/2F379B0AFB231F9C383C2EA6ADF39BDAF57BEA43,https://yts.am/torrent/download/DFC03612652C268DF95CC43CCB81276E39FDE277
,,,,,,
The Demoniacs (1974),5.3,11,"19,998",https://www.imdb.com/title/tt0070013/,https://yts.am/torrent/download/800102D526925F88F8F6FF57E6EAF02183647229,https://yts.am/torrent/download/DBD49A82A8A72D30C070B054A15E1FDF154C3CB9
,,,,,,
Blood Hook (1986),4.2,1,"12,423",https://www.imdb.com/title/tt0090750/,https://yts.am/torrent/download/A6173ABDF16032D46DDCCDA4DF3A327622F20006,https://yts.am/torrent/download/F0B6EE24483E8D6D0A64B7A1EC4E6602EB562ECE
,,,,,,
The Dead Girl (2006),6.7,16,"29,694",https://www.imdb.com/title/tt0783238/,https://yts.am/torrent/download/38BF921226C2FF15A99B8F4BBF613C8E621D1810,https://yts.am/torrent/download/ECF5B30A41821B3361CDC263999089E0E605F80E
,,,,,,
The Dead Girl (2006),6.7,16,"29,694",https://www.imdb.com/title/tt0783238/,https://yts.am/torrent/download/38BF921226C2FF15A99B8F4BBF613C8E621D1810,https://yts.am/torrent/download/ECF5B30A41821B3361CDC263999089E0E605F80E
,,,,,,
Let Me Eat Your Pancreas (2017),7.2,20,"35,047",https://www.imdb.com/title/tt6078840/,https://yts.am/torrent/download/C0FA6E98D253F7C2827296352BDFDF663A17D80D,https://yts.am/torrent/download/53259BA8CF5430D72B7AC5C1E4FD38DEB91E4B00
,,,,,,
Chappaquiddick (2017),6.5,11,"81,305",https://www.imdb.com/title/tt5270948/,https://yts.am/torrent/download/DCBA6E99EA07D393A875C4E9E4CB41F2953400E5,https://yts.am/torrent/download/404F33C21249F1F63408DF3536E8FB604512C07D
,,,,,,
Legend of the Demon Cat (2017),6.2,18,"65,448",https://www.imdb.com/title/tt6157626/,https://yts.am/torrent/download/104A4E682AAC9EAA0134D48597A0BADBFCB49CE4,https://yts.am/torrent/download/1AED3716D983FF86A7D9F2464462D29CEABE2EFD
,,,,,,
The Escape of Prisoner 614 (2018),4.5,18,"1,74,023",https://www.imdb.com/title/tt7375578/,https://yts.am/torrent/download/FAA8105030FDBDE471C127933BCFCF72B1D14CA6,https://yts.am/torrent/download/43027DC82D90946BF7C25D1178A831E902F5C942
,,,,,,
